LeftLowerLeg, RightLowerLeg
LeftUpperLeg, RightUpperLeg
LeftFoot, RightFoot
LeftShoulder, RightShoulder
LeftUpperArm, RightUpperArm
LeftLowerArm, RightLowerArm
LeftHand, RightHand
LeftToes, RightToes
LeftEye, RightEye
LeftThumbProximal, RightThumbProximal
LeftThumbIntermediate, RightThumbIntermediate
LeftThumbDistal, RightThumbDistal
LeftIndexProximal, RightIndexProximal
LeftIndexIntermediate, RightIndexIntermediate
LeftIndexDistal, RightIndexDistal
LeftMiddleProximal, RightMiddleProximal
LeftMiddleIntermediate, RightMiddleIntermediate
LeftMiddleDistal, RightMiddleDistal
LeftRingProximal, RightRingProximal
LeftRingIntermediate, RightRingIntermediate
LeftRingDistal, RightRingDistal
LeftLittleProximal, RightLittleProximal
LeftLittleIntermediate, RightLittleIntermediate
LeftLittleDistal, RightLittleDista
